date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,rateUSD
2024-01-28,NVDA,USD,0001045810,2024-02-21,2024-02-21 16:36:57,2024,FY,60922000000,16621000000,44301000000,0.7271757329,8675000000.0,0,0,2654000000,237000000,11329000000,27950000000,866000000,257000000,1508000000,35583000000,0.5840747185,32972000000,0.5412166377,237000000,33818000000,0.5551032468,4058000000,29760000000,0.4884934835,1.21,1.19,24690000000,24940000000,https://www.sec.gov/Archives/edgar/data/1045810/000104581024000029/0001045810-24-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581024000029/nvda-20240128.htm,1.0
2023-01-29,NVDA,USD,0001045810,2023-02-24,2023-02-24 17:23:43,2023,FY,26974000000,11618000000,15356000000,0.5692889449,7339000000.0,0,0,2440000000,-48000000,9779000000,21397000000,267000000,262000000,1544000000,7340000000,0.2721138874,4224000000,0.1565952399,-1401000000,4181000000,0.1550011122,-187000000,4368000000,0.1619337139,0.18,0.17,24870000000,25070000000,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000017/0001045810-23-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000017/nvda-20230129.htm,1.0
2022-01-30,NVDA,USD,0001045810,2022-03-18,2022-03-17 20:33:34,2022,FY,26914000000,9439000000,17475000000,0.6492903322,5268000000.0,0,0,2166000000,107000000,7434000000,16873000000,29000000,236000000,1174000000,11351000000,0.4217507617,10041000000,0.3730772089,-100000000,9941000000,0.3693616705,189000000,9752000000,0.362339303,0.39,0.39,24960000000,25350000000,https://www.sec.gov/Archives/edgar/data/1045810/000104581022000036/0001045810-22-000036-index.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581022000036/nvda-20220130.htm,1.0
2021-01-31,NVDA,USD,0001045810,2021-02-26,2021-02-26 17:03:14,2021,FY,16675000000,6279000000,10396000000,0.6234482759,3924000000.0,0,0,1940000000,4000000,5864000000,12143000000,57000000,184000000,1098000000,5691000000,0.3412893553,4532000000,0.2717841079,-123000000,4409000000,0.2644077961,77000000,4332000000,0.2597901049,0.18,0.17,24680000000,25120000000,https://www.sec.gov/Archives/edgar/data/1045810/000104581021000010/0001045810-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581021000010/nvda-20210131.htm,1.0
2020-01-26,NVDA,USD,0001045810,2020-02-20,2020-02-20 16:38:18,2020,FY,10918000000,4150000000,6768000000,0.6198937534,2829000000.0,0,0,1093000000,-2000000,3922000000,8072000000,178000000,52000000,381000000,3403000000,0.3116871222,2846000000,0.2606704525,124000000,2970000000,0.2720278439,174000000,2796000000,0.2560908591,0.12,0.11,24360000000,24720000000,https://www.sec.gov/Archives/edgar/data/1045810/000104581020000010/0001045810-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581020000010/nvda-2020x10k.htm,1.0
2024-09-28,AAPL,USD,0000320193,2024-11-01,2024-11-01 06:01:36,2024,FY,391035000000,210352000000,180683000000,0.4620634982,31370000000.0,0,0,26097000000,0,57467000000,267819000000,0,0,11445000000,134661000000,0.3443707085,123216000000,0.3151022287,269000000,123485000000,0.3157901467,29749000000,93736000000,0.2397125577,6.11,6.08,15417105263,15408095000,https://www.sec.gov/Archives/edgar/data/320193/000032019324000123/0000320193-24-000123-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019324000123/aapl-20240928.htm,1.0
2023-09-30,AAPL,USD,0000320193,2023-11-03,2023-11-02 18:08:27,2023,FY,383285000000,214137000000,169148000000,0.4413112958,29915000000.0,0,0,24932000000,382000000,54847000000,268984000000,3750000000,3933000000,11519000000,125820000000,0.3282674772,114301000000,0.2982141227,565000000,113736000000,0.2967400237,16741000000,96995000000,0.2530623426,6.16,6.13,15744231000,15812547000,https://www.sec.gov/Archives/edgar/data/320193/000032019323000106/0000320193-23-000106-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019323000106/aapl-20230930.htm,1.0
2022-09-24,AAPL,USD,0000320193,2022-10-28,2022-10-27 18:01:14,2022,FY,394328000000,223546000000,170782000000,0.4330963056,26251000000.0,0,0,25094000000,228000000,51573000000,275119000000,2825000000,2931000000,11104000000,130541000000,0.3310467428,119437000000,0.302887444,334000000,119103000000,0.3020404333,19300000000,99803000000,0.2530964071,6.15,6.11,16215963000,16325819000,https://www.sec.gov/Archives/edgar/data/320193/000032019322000108/0000320193-22-000108-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019322000108/aapl-20220924.htm,1.0
2021-09-25,AAPL,USD,0000320193,2021-10-29,2021-10-28 18:04:28,2021,FY,365817000000,212981000000,152836000000,0.4177935963,21914000000.0,0,0,21973000000,-60000000,43827000000,256808000000,2843000000,2645000000,11284000000,120233000000,0.3286697994,108949000000,0.2978237753,-258000000,109207000000,0.2985290459,14527000000,94680000000,0.2588179336,5.67,5.61,16701272000,16864919000,https://www.sec.gov/Archives/edgar/data/320193/000032019321000105/0000320193-21-000105-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019321000105/aapl-20210925.htm,1.0
2020-09-26,AAPL,USD,0000320193,2020-10-30,2020-10-29 18:06:25,2020,FY,274515000000,169559000000,104956000000,0.3823324773,18752000000.0,0,0,19916000000,87000000,38755000000,208314000000,3763000000,2873000000,11056000000,77344000000,0.2817478098,66288000000,0.2414731435,-803000000,67091000000,0.2443983025,9680000000,57411000000,0.2091361128,3.31,3.28,17352119000,17528214000,https://www.sec.gov/Archives/edgar/data/320193/000032019320000096/0000320193-20-000096-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019320000096/aapl-20200926.htm,1.0
